player_id,player_name,age,position_group,league_name,tier,value_at_as_of,minutes_played,performance_score,trajectory_score,availability_score,composite_score,confidence,has_xg,value_after,value_after_date,last_valuation,dropped_out,value_growth,value_delta_eur,doubled,horizon_end,value_bucket
667903,Youssuf Sylla,21.034907597535934,Attack,Pro League,2,600000,618.0,17.5,95.5,2.6,41.8,medium,False,600000,2025-12-08,2026-06-04,False,0.0,0,False,2026-01-01,0.5-1M
578544,Noah Naujoks,21.66735112936345,Midfield,Eredivisie,2,400000,1046.0,22.9,83.5,10.7,41.7,medium,False,800000,2025-12-02,2026-05-28,False,1.0,400000,True,2026-01-01,<0.5M
752778,Mads Enggård,19.94798083504449,Midfield,Danish Superliga,3,700000,1809.0,15.0,97.7,2.6,41.5,medium,False,2500000,2025-12-15,2026-05-25,False,2.5714285714285716,1800000,True,2026-01-01,0.5-1M
670119,Victor Loturi,22.614647501711158,Midfield,Scottish Premiership,3,350000,1675.0,23.8,76.0,20.2,41.4,medium,False,800000,2025-12-11,2026-06-02,False,1.2857142857142856,450000,True,2026-01-01,<0.5M
364133,Pietro Pellegri,22.792607802874745,Attack,Serie A,1,3500000,748.0,24.3,66.5,34.9,41.2,medium,False,3000000,2024-06-05,2024-06-05,False,-0.1428571428571429,-500000,False,2026-01-01,2-4M
809569,Yegor Gunichev,20.00273785078713,Attack,Ukrainian Premier League,3,300000,960.0,18.2,74.1,34.9,41.1,medium,False,300000,2024-06-06,2024-06-06,False,0.0,0,False,2026-01-01,<0.5M
801886,Isak Jensen,20.024640657084188,Attack,Danish Superliga,3,1200000,1000.0,32.5,74.9,0.1,40.9,medium,False,3500000,2025-12-02,2026-05-28,False,1.9166666666666665,2300000,True,2026-01-01,1-2M
412943,Kenzo Goudmijn,22.036960985626283,Midfield,Eredivisie,2,1300000,1813.0,34.8,70.4,2.6,40.8,medium,False,1500000,2025-12-02,2026-05-28,False,0.15384615384615374,200000,False,2026-01-01,1-2M
1084065,Arielson,19.32101300479124,Attack,Ukrainian Premier League,3,500000,681.0,25.7,60.1,40.0,40.6,medium,False,300000,2025-12-22,2026-06-04,False,-0.4,-200000,False,2026-01-01,<0.5M
608407,Derensili Sanches Fernandes,22.595482546201232,Attack,Eredivisie,2,450000,1294.0,15.5,89.1,10.7,40.3,medium,False,600000,2025-12-02,2026-05-28,False,0.33333333333333326,150000,False,2026-01-01,<0.5M
486053,Nayel Mehssatou,21.724845995893222,Midfield,Pro League,2,1200000,1934.0,26.9,78.8,2.6,40.2,medium,False,2000000,2025-12-10,2026-06-04,False,0.6666666666666667,800000,False,2026-01-01,1-2M
623521,Juanmi Latasa,22.77618069815195,Attack,LaLiga,1,3000000,1553.0,20.3,88.0,0.6,40.1,medium,False,2000000,2025-12-30,2025-12-30,False,-0.33333333333333337,-1000000,False,2026-01-01,2-4M
887142,Ivan Nesterenko,20.4435318275154,Midfield,Ukrainian Premier League,3,500000,1264.0,32.0,66.6,10.7,39.8,medium,False,300000,2025-12-18,2026-06-02,False,-0.4,-200000,False,2026-01-01,<0.5M
695310,Maksym Bragaru,21.44832306639288,Attack,Ukrainian Premier League,3,700000,2565.0,26.7,79.1,0.6,39.8,medium,False,1300000,2025-12-18,2026-06-02,False,0.8571428571428572,600000,False,2026-01-01,0.5-1M
496660,Jack Vale,22.830937713894592,Attack,Scottish Premiership,3,450000,674.0,36.0,47.2,34.9,39.7,medium,False,500000,2024-05-30,2024-05-30,False,0.11111111111111116,50000,False,2026-01-01,<0.5M
692997,Oleksiy Sydorov,22.56810403832991,Attack,Ukrainian Premier League,3,400000,1586.0,27.3,76.5,2.6,39.6,medium,False,200000,2025-12-18,2026-06-02,False,-0.5,-200000,False,2026-01-01,<0.5M
507223,Kristijan Belic,22.770704996577688,Midfield,Eredivisie,2,2500000,932.0,23.4,62.9,34.9,39.5,medium,False,5000000,2024-05-31,2024-05-31,False,1.0,2500000,True,2026-01-01,2-4M
699442,Kacper Urbański,19.315537303216974,Midfield,Serie A,1,1000000,920.0,29.3,73.1,2.6,39.3,medium,False,3500000,2025-12-08,2026-06-04,False,2.5,2500000,True,2026-01-01,0.5-1M
618425,Tanguy Coulibaly,22.86652977412731,Attack,Ligue 1,1,2000000,622.0,25.8,76.9,2.6,39.0,medium,False,1500000,2025-12-17,2026-05-21,False,-0.25,-500000,False,2026-01-01,1-2M
979551,Pathé Mboup,20.202600958247775,Attack,Pro League,2,450000,752.0,39.8,60.3,0.1,39.0,medium,False,3000000,2025-12-15,2026-06-01,False,5.666666666666667,2550000,True,2026-01-01,<0.5M
627936,Casper Winther,20.8870636550308,Midfield,Danish Superliga,3,650000,923.0,20.1,78.6,10.7,38.7,medium,False,1500000,2025-12-18,2025-12-18,False,1.3076923076923075,850000,True,2026-01-01,0.5-1M
727132,Zach Robinson,21.557837097878167,Attack,Scottish Premiership,3,275000,900.0,18.1,63.9,40.0,38.5,medium,False,250000,2025-12-10,2026-05-20,False,-0.09090909090909094,-25000,False,2026-01-01,<0.5M
624266,Ross McCausland,20.640657084188913,Attack,Scottish Premiership,3,1000000,1251.0,17.1,67.8,34.9,38.4,medium,False,900000,2025-12-23,2026-06-02,False,-0.09999999999999998,-100000,False,2026-01-01,0.5-1M
882717,Denys Teslyuk,20.725530458590008,Attack,Ukrainian Premier League,3,500000,760.0,5.4,96.3,10.7,38.3,medium,False,200000,2025-12-18,2026-06-02,False,-0.6,-300000,False,2026-01-01,<0.5M
892049,Marko Sapuga,20.594113620807665,Midfield,Ukrainian Premier League,3,800000,1440.0,22.1,80.2,0.6,38.1,medium,False,300000,2025-12-18,2026-06-02,False,-0.625,-500000,False,2026-01-01,0.5-1M
967948,Garang Kuol,19.293634496919918,Attack,Eredivisie,2,700000,679.0,17.5,86.0,0.6,38.1,medium,False,800000,2025-12-22,2026-05-20,False,0.1428571428571428,100000,False,2026-01-01,0.5-1M
670717,Dário Essugo,18.80082135523614,Midfield,Liga Portugal,2,2000000,1196.0,7.3,98.9,0.0,37.9,medium,False,20000000,2025-12-09,2026-06-03,False,9.0,18000000,True,2026-01-01,1-2M
502288,Bryan Limbombe,22.633812457221083,Attack,Eredivisie,2,700000,1744.0,26.1,68.6,10.7,37.9,medium,False,650000,2025-12-02,2026-05-28,False,-0.0714285714285714,-50000,False,2026-01-01,0.5-1M
